нілагерцаў	кілагерцаў
адяодзіў	адводзіў
адкрывве	адкрывае
Прондзе	Пройдзе
раэгарэўся	разгарэўся
размяшчэнііе	размяшчэнне
рэснубліках	рэспубліках
Гасней	Гасцей
эаявіла	заявіла
рэспубліквнскага	рэспубліканскага
крыгыка	крытыка
міліныю	міліцыю
лтрыманне	атрыманне
ставінца	ставіцца
Мінісгэрства	Міністэрства
Уэрастаюць	Узрастаюць
Звводскія	Заводскія
пусціпь	пусціць
выйсне	выйсце
раззбраенііі	раззбраенні
нааелы	навелы
ііэлае	цэлае
няменкіх	нямецкіх
глмбока	глыбока
брмгада	брыгада
слрачаецца	спрачаецца
блрацьба	барацьба
лікнідацыі	ліквідацыі
з'яяіліся	з'явіліся
дзсцьмі	дзецьмі
нядаўня	нядаўна
асобння	асобныя
квмісіі	камісіі
нсдахопам	недахопам
рэалізаныі	рэалізацыі
пырошчвання	вырошчвання
лухоўна	духоўна
яктыўны	актыўны
твлрыць	тварыць
Міжнаролны	Міжнародны
квштоўных	каштоўных
мсдаля	медаля
Фсдэратыўнай	Федэратыўнай
студэнтн	студэнты
баіцпа	баіцца
значнан	значнай
водзянь	водзяць
Славік	Сланік
своеасабліны	своеасаблівы
наднісам	надпісам
прыэнае	прызнае
развіааецца	развіваецца
падкрэсліаае	падкрэслівае
падзялінь	падзяліць
знахараў	знахароў
мародам	маронам
дзесяііі	дзесяці
рэспубліаы	рэспубліцы
мастаптвам	мастацтвам
прысаяціў	прысвяціў
всноўны	асноўны
рээалі	рэзалі
перабівас	перабівае
прыйшля	прыйшла
вртыкулам	артыкулам
налсва	налева
кінаквдры	кінакадры
печзны	печаны
пасылас	пасылае
газота	галота
взбіла	вабіла
ад'сзду	ад'езду
камітэне	камітэце
пісвлі	пісалі
пісьмеіініка	пісьменніка
паўствюць	паўстаюць
ілюстрлцыі	ілюстрацыі
Барановіч	Баранавіч
партызонскім	партызанскім
вмканалі	выканалі
адрээак	адрэзак
выкарыстоўваюнь	выкарыстоўваюць
аплвяданні	апавяданні
клжучы	кажучы
знішчыпь	знішчыць
эахавалася	захавалася
сяетапогляду	светапогляду
пералічвань	пералічваць
аўтазаводны	аўтазаводцы
скаранілі	скарацілі
дэманструюшіа	дэманструюцца
эдзейсніў	здзейсніў
маллдым	маладым
жыццевым	жыццёвым
даяркз	даярка
корнус	корпус
лачыненні	дачыненні
раііна	раліна
змесгу	зместу
бараньбой	барацьбой
эахаваць	захаваць
Вандай	Ваннай
вырашання	вырашаныя
Хойзінгерл	Хойзінгера
кастаўніцы	настаўніцы
бібпіятэка	бібліятэка
Гілсвіч	Гілевіч
кінакярціны	кінакарціны
нарэспандэнт	карэспандэнт
блізкаснь	блізкасць
устанаўліваюнь	устанаўліваюць
возьмс	возьме
размовс	размове
змагзцца	змагацца
зайздрасць	зайздросць
абыякавасііь	абыякавасць
паслду	пасаду
Створвны	Створаны
абапязак	абавязак
знойдзс	знойдзе
дзейка	дзейна
прынныпам	прынцыпам
натурл	натура
прааесці	правесці
паведамінь	паведаміць
Рассвст	Рассвет
Цэнтрвльны	Цэнтральны
Паркавзй	Паркавай
кіраўпіцтвам	кіраўніцтвам
пранодзяць	праводзяць
насельнінтвам	насельніцтвам
абмалеўцы	абмалёўцы
літаратуркых	літаратурных
вымагаюнь	вымагаюць
пыклікаў	выклікаў
нерашкоды	перашкоды
канцэртлм	канцэртам
гпектакля	спектакля
яыпуск	выпуск
энатных	знатных
амзтараў	аматараў
дапвмогу	дапамогу
эманыянальнай	эмацыянальнай
крытыпы	крытыцы
нечаканз	нечакана
імпсрыялістаў	імперыялістаў
яктывісты	актывісты
атрымллі	атрымалі
спевлкі	спевакі
чмстае	чыстае
бартом	бартам
дзградацыі	дэградацыі
ныходзілі	выходзілі
выдавентвам	выдавецтвам
кінаўстаноўнах	кінаўстаноўках
карояы	каровы
вытворчаець	вытворчасць
самлдзейныя	самадзейныя
чалавеч	чалавек
аэірнуўся	азірнуўся
ралвіццё	развіццё
лісьмах	пісьмах
Плрыжы	Парыжы
рочных	рачных
прлйшла	прайшла
рыхтуеццв	рыхтуецца
навоштз	навошта
неэнарок	незнарок
склаланыя	складаныя
прлвільныя	правільныя
дэпутатач	дэпутатак
кріпасці	крэпасці
сплборніцтвы	спаборніцтвы
ператаарэнне	ператварэнне
мыслінь	мысліць
бяроэы	бярозы
клопагы	клопаты
тэрыгорыі	тэрыторыі
азелянены	азелянёны
даслелаванні	даследаванні
Васілеўсклга	Васілеўскага
кіёскзў	кіёскаў
юбілсю	юбілею
находзілася	нахадзілася
суроввй	суровай
прагрэгу	прагрэсу
прзйшло	прайшло
рэдакііыі	рэдакцыі
Квстрычніку	Кастрычніку
свстлая	светлая
Пачаканце	Пачакайце
аркеетра	аркестра
каралн	каралы
прал'яўляюць	прад'яўляюць
непалалёку	непадалёку
калгаснікяў	калгаснікаў
загалчыкаў	загадчыкаў
дрэннв	дрэнна
грамадскяга	грамадскага
пявагі	павагі
камлазітара	кампазітара
паэуху	пазуху
перакладзс	перакладзе
выканлныя	выкананыя
барапьба	барацьба
складасцца	складаецца
мінскан	мінскай
аркегтраў	аркестраў
Сввета	Савета
электрыфіквцыі	электрыфікацыі
барацьбон	барацьбой
Тушыне	Тушыце
сабрвліся	сабраліся
фразан	фразай
збарону	абарону
гняэдо	гняздо
дыэеляў	дызеляў
паліты	наліты
лрацоўныя	працоўныя
ператварынь	ператварыць
саўгасз	саўгаса
гранспарт	транспарт
бячыце	бачыце
вмканання	выканання
послехаў	поспехаў
Аладавя	Аладава
кожнас	кожнае
бліжэіішы	бліжэйшы
лрыёмнай	прыёмнай
ясноўную	асноўную
Саюзлруку	Саюздруку
залоўнілі	запоўнілі
выклалае	выкладае
прзфесіянальны	прафесіянальны
саедчаць	сведчаць
мінулвга	мінулага
энайшлося	знайшлося
Зсмлякі	Землякі
ВялІнай	ВялІкай
цінавы	цікавы
прыннып	прынцып
рэепублік	рэспублік
дзссяць	дзесяць
хаваенца	хаваецца
адноеінах	адносінах
камунігт	камуніст
стзранна	старанна
фармаваннс	фармаванне
снрабуе	спрабуе
аыпуску	выпуску
прмчыны	прычыны
пярадку	парадку
напрыкпад	напрыклад
дапамогв	дапамога
прээідыуме	прэзідыуме
барацьбо	барацьба
нытацца	пытацца
гнёэды	гнёзды
правалніка	правадніка
рэвалюныю	рэвалюцыю
Упогуле	Увогуле
светіы	светлы
паяэдоў	паяздоў
раэгорнутую	разгорнутую
лакаленняў	пакаленняў
станонішча	становішча
трантары	трактары
раскаэамі	расказамі
паспсшліва	паспешліва
брыглду	брыгаду
чалавечагя	чалавечага
роскпіце	росквіце
аучылішчы	вучылішчы
эдалася	здалася
гледячам	гледачам
цельна	цельца
дзядзечкэ	дзядзечкі
Сканлал	Скандал
аднлчасова	адначасова
алказвалі	адказвалі
мностна	мноства
стварзння	стварэння
больніцы	бальніцы
лрцелі	арцелі
выканаўна	выканаўца
намагаенца	намагаецца
суловы	судовы
дзяўчатлм	дзяўчатам
прыязлжала	прыязджала
Первмогі	Перамогі
зовалены	завалены
павішіа	павіцца
перашклджае	перашкаджае
палежаць	належаць
беэдань	бездань
апявяданні	апавяданні
сапраўдняга	сапраўднага
пагпяхова	паспяхова
Акрвмя	Акрамя
мясцовзй	мясцовай
помнін	помнік
Камаях	Камлях
муэыкам	музыкам
карыстаюцпа	карыстаюцца
нсдаступная	недаступная
Друкарна	Друкарня
вынрабаванні	выпрабаванні
гаспаларнікі	гаспадарнікі
раэлучаць	разлучаць
міжнароднзй	міжнароднай
дадзсных	дадзеных
пэўнаснь	пэўнасць
пвлётаў	палётаў
Канстанпін	Канстанцін
добнага	лобнага
музына	музыка
нарадак	парадак
цікапую	цікавую
Нсдалёка	Недалёка
выклалання	выкладання
Абедзвс	Абедзве
ранага	радага
мерапрыемстааў	мерапрыемстваў
уэяўшы	узяўшы
нышэйшую	вышэйшую
устаповах	установах
спрабус	спрабуе
моладлі	моладзі
захапінь	захапіць
првдпрыемстве	прадпрыемстве
надавычай	надзвычай
жмвуць	жывуць
паохаць	паахаць
нрысвечаную	прысвечаную
прагрзсу	прагрэсу
адкрытл	адкрыта
уэняты	узняты
з'яніліся	з'явіліся
абмяняшіа	абмяняцца
В1цебск	Віцебск
няцыянальнай	нацыянальнай
набудову	пабудову
Хрысціне	Хрысціце
лрысвечаным	прысвечаным
сняваюць	спяваюць
пабудааана	пабудавана
Круглаіі	Круглай
вдзіны	адзіны
сучаснагя	сучаснага
адкрынця	адкрыцця
пранягнуць	працягнуць
пыхавання	выхавання
парахол	параход
мулыкі	музыкі
кардоннвй	кардоннай
начвльнік	начальнік
аыхадны	выхадны
бслага	белага
словвх	словах
вобразям	вобразам
цялкам	цалкам
экзямен	экзамен
акаймаваныя	акаймавання
зяанне	званне
прыйгці	прыйсці
напаўняешіа	напаўняецца
длволі	даволі
перамоглй	перамогай
найвялікшан	найвялікшай
Мікялая	Мікалая
восснню	восенню
квмбінат	камбінат
пераганоры	перагаворы
пралановы	прапановы
уэводзяцца	узводзяцца
непасрздна	непасрэдна
гераіэму	гераізму
ныйдуць	выйдуць
вуліцм	вуліцы
псраказ	пераказ
малася	мялася
прагріс	прагрэс
навярстаііь	навярстаць
эаслонай	заслонай
рабочвй	рабочай
партні	партыі
Кіравл	Кірава
выдатнля	выдатная
даленшых	далейшых
набэрак	цабэрак
дзссяці	дзесяці
Сааецкія	Савецкія
сгльскага	сельскага
эапасныя	запасныя
лраблемы	праблемы
праноўнай	працоўнай
ініныятывы	ініцыятывы
заўввгі	заўвагі
пастааіў	паставіў
пябачаныя	нябачаныя
блелны	бледны
эасмяяўся	засмяяўся
пафагу	пафасу
свосасаблівая	своеасаблівая
Ніякан	Ніякай
ганебнмя	ганебныя
сядзяпь	сядзяць
няпружана	напружана
стнарэнні	стварэнні
чарговлй	чарговай
Тарасавых	Таросавых
зяяўляе	заяўляе
ворвгаў	ворагаў
крвінай	краінай
Пярнасе	Парнасе
шаннуе	шанцуе
мінаюнь	мінаюць
нраўлення	праўлення
Варашылааа	Варашылава
матыпах	матывах
старшыіія	старшыня
з'явіўея	з'явіўся
Шгатаў	Штатаў
лошукамі	пошукамі
Дапамагань	Дапамагаць
жалеэны	жалезны
далеіішага	далейшага
роэніцы	розніцы
жанчыіі	жанчын
первдавога	перадавога
ярганізацый	арганізацый
аблраняе	абараняе
сналучаецца	спалучаецца
адкрыпае	адкрывае
электрыфіканыя	электрыфікацыя
тэлтру	тэатру
драмвтычныя	драматычныя
сняшаюцца	спяшаюцца
прамыслонасць	прамысловасць
праподзяць	праводзяць
зкайсці	знайсці
каралсва	каралева
аддвлі	аддалі
двлёкіх	далёкіх
даклалчык	дакладчык
пытвнняў	пытанняў
зўтараў	аўтараў
занікавіўся	зацікавіўся
Абодна	Абодва
Шкурко	Шкурка
традыпыі	традыцыі
дзіцячагя	дзіцячага
калгаснзй	калгаснай
абвяшчаюнь	абвяшчаюць
сярэднс	сярэдне
панерыў	паверыў
чалаяекам	чалавекам
ладрыхтоўкі	падрыхтоўкі
адчувяе	адчувае
давелаўся	даведаўся
папісаныя	напісаныя
Тэзтра	Тэатра
Беларускагв	Беларускага
харааых	харавых
пачынаенца	пачынаецца
дзяржаяы	дзяржавы
медынынскай	медыцынскай
наролнасць	народнасць
гарсааета	гарсавета
перадас	перадае
кянцэрт	канцэрт
нлступны	наступны
эпічнаснь	эпічнасць
традыаыі	традыцыі
Рабогнікі	Работнікі
стзіць	стаіць
публіні	публікі
даленшае	далейшае
сімфлнічнага	сімфанічнага
псрастала	перастала
Маскоўсні	Маскоўскі
Варава	Варана
начуццяў	пачуццяў
асноае	аснове
ажыццяніць	ажыццявіць
ніваецца	ківаецца
прапуе	працуе
карыснан	карыснай
лсобныя	асобныя
прыпатнасці	прыватнасці
знондзецца	знойдзецца
нрыдзе	прыдзе
ііартыйных	партыйных
віловішча	відовішча
удасцца	удаецца
прзўда	праўда
сталасні	сталасці
шчзсце	шчасце
цяжкас	цяжкае
іілася	лілася
Заходняіі	Заходняй
Прывядзем	Прывядзём
тэхнінай	тэхнікай
шнольнікаў	школьнікаў
аедаеце	ведаеце
прамтавлрных	прамтаварных
Пачзлі	Пачалі
загадчыны	загадчыцы
атрымліваюпь	атрымліваюць
гісторыян	гісторыяй
пастаяннан	пастаяннай
нінаапаратуры	кінаапаратуры
вісянь	вісяць
здаеііца	здаецца
карэспандзнта	карэспандэнта
Іаанова	Іванова
прыгажзе	прыгажэе
палымянасню	палымянасцю
яыстаўцы	выстаўцы
зоўтрашнім	заўтрашнім
слвецкі	савецкі
думаенца	думаецца
павсзлі	павезлі
патрэбнв	патрэбна
яадача	задача
гаіеты	галеты
Цулоўны	Цудоўны
пейэаж	пейзаж
савеакай	савецкай
гнеўнас	гнеўнае
вслічнымі	велічнымі
нацыянлльным	нацыянальным
семячкі	семачкі
тканінс	тканіне
Снрыган	Скрыган
старлўся	стараўся
Взсіль	Васіль
дваццапі	дваццаці
яднаго	аднаго
дзяркі	даяркі
тзхнікаў	тэхнікаў
асноўнас	асноўнае
крыўднз	крыўдна
фіэічны	фізічны
Паршына	Паршыва
галояы	галовы
друтая	другая
прыйлуць	прыйдуць
носяпь	носяць
мастаптве	мастацтве
паступіпі	паступілі
прмгожая	прыгожая
дыханнс	дыханне
нядомай	вядомай
павінііы	павінны
узлыхнуў	уздыхнуў
магззін	магазін
месяіі	месяц
паказапы	паказаны
фартэніяна	фартэпіяна
Шзўчэнка	Шаўчэнка
матэрнялу	матэрыялу
мастана	мастака
нератварылася	ператварылася
кіколі	ніколі
налітычную	палітычную
пісьменііікі	пісьменнікі
пастзноўкі	пастаноўкі
Чалапека	Чалавека
праяадыра	правадыра
нісьмаў	пісьмаў
кіпсні	кіпені
эвычайнай	звычайнай
а'яўляецца	з'яўляецца
вышыней	вышынёй
Плртызаны	Партызаны
паназаны	паказаны
вгульнаму	агульнаму
Спентакль	Спектакль
Прафссары	Прафесары
алчуваем	адчуваем
мелодню	мелодыю
трзцяга	трэцяга
Захалу	Захаду
склаланага	складанага
пввярнуць	павярнуць
гадавінс	гадавіне
прыэямліліся	прызямліліся
эманціраваны	зманціраваны
установях	установах
свежвя	свежая
перлдач	перадач
плаціпы	плаціны
стнарае	стварае
цікааым	цікавым
халоднан	халоднай
будзецс	будзеце
пааагай	павагай
адзнлчыць	адзначыць
псраканаць	пераканаць
Міхяла	Міхала
цінавай	цікавай
абавязоны	абавязаны
бсссмяротны	бессмяротны
Савецнай	Савецкай
прлктыка	практыка
Поэняе	Позняе
калектынаў	калектываў
фабрыкц	фабрыка
аышэйшы	вышэйшы
пвездкі	паездкі
рэвалюцыйпай	рэвалюцыйнай
спранядлівае	справядлівае
налгаснікі	калгаснікі
райкомз	райкома
разважас	разважае
Руснага	Рускага
радыесувязі	радыёсувязі
культурнлй	культурнай
агітбрыгвд	агітбрыгад
класлў	класаў
мастацтвям	мастацтвам
аыступіла	выступіла
багзтых	багатых
клалуцца	кладуцца
разумесм	разумеем
нёвялікі	невялікі
перспектыне	перспектыве
драмятургіі	драматургіі
Савгцкай	Савецкай
можііа	можна
эдзіўляе	здзіўляе
чалаяечай	чалавечай
Спрлва	Справа
Захарвва	Захарава
забяспсчвае	забяспечвае
патуральна	натуральна
лрыгожае	прыгожае
прыкрага	прыкраса
пранэсаў	працэсаў
кампазітзр	кампазітар
вясковаіі	вясковай
уэбраенняў	узбраенняў
хвіліііы	хвіліны
чллавекам	чалавекам
саўгзса	саўгаса
фільнаў	фількаў
Алоўнікаяа	Алоўнікава
раэбіраецца	разбіраецца
праслухоўвлў	праслухоўваў
эерневы	зерневы
вылачай	выдачай
пяслужыў	паслужыў
практычыы	практычны
праклалкі	пракладкі
веросня	верасня
вылваліліся	вызваліліся
транспярту	транспарту
пыпадкаў	выпадкаў
кампазігарамі	кампазітарамі
мансты	манеты
ТувіЛа	ТупіЛа
Харужлй	Харужай
калітая	налітая
секныяй	секцыяй
снарал	снарад
жываснь	жывасць
літаратуразнаўчнх	літаратуразнаўчых
ззпаветная	запаветная
гавлры	гавары
тэматыцн	тэматыцы
востралістыя	вастралістыя
паставянь	паставяць
мастацтваэнаўчай	мастацтвазнаўчай
шлхцёрскую	шахцёрскую
вялікіа	вялікія
Антвлогіі	Анталогіі
апранутзя	апранутая
Ціхманы	Ціхмяны
прыеутнымі	прысутнымі
шэфскан	шэфскай
шуквлі	шукалі
уядымны	уздымны
ссктар	сектар
наведве	наведае
Прыварогнік	Прываротнік
Нядрэнпа	Нядрэнна
лрэўцы	дрэўцы
Асабліяай	Асаблівай
выхоўвааь	выхоўваць
лепшве	лепшае
свсцяцца	свецяцца
Гістарычнля	Гістарычная
клнтынентам	кантынентам
бсссюжэтнае	бессюжэтнае
пзставілі	паставілі
політзхнічная	політэхнічная
палрыхтавалася	падрыхтавалася
паласон	паласой
знсшняй	знешняй
лакупніка	пакупніка
збірзе	збірае
эпігэтаў	эпітэтаў
Наіірыклад	Напрыклад
суманаць	сумаваць
млстакам	мастакам
эдаліся	здаліся
ііеабходным	неабходным
лакона	закона
Выяўленчас	Выяўленчае
вырабляііь	вырабляць
яграномам	аграномам
сабрлнага	сабранага
ветліввй	ветлівай
пзкідае	пакідае
трансфарматарн	трансфарматары
паспрабуюнь	паспрабуюць
папярзднім	папярэднім
нааінах	навінах
гарадгкія	гарадскія
калечтыву	калектыву
Неэадоўга	Незадоўга
абагульненкя	абагульнення
Кар'гра	Кар'ера
пейэажнага	пейзажнага
дзяржапы	дзяржавы
народііы	народны
чалавечмя	чалавечыя
алрадзіў	адрадзіў
непрыголная	непрыгодная
раскрыввюцца	раскрываюцца
Тэлгфоны	Тэлефоны
змвглі	змаглі
адбмваюцца	адбываюцца
эвышпланавага	звышпланавага
стомлепы	стомлены
крыніце	крывіце
павепу	павеву
налвацца	назвацца
харчоввй	харчовай
Леапіда	Леаніда
Прлчытаўшы	Прачытаўшы
фзрмалізму	фармалізму
немаведзма	немаведама
сустранае	сустракае
недастатконы	недастатковы
чыгуначнлй	чыгуначнай
разврэнне	разарэнне
прычннах	прычынах
з'ездаі	з'ездзі
Сотіія	Сотня
Дячушка	Дачушка
Грыцуь	Грыцук
забяснечанасць	забяспечанасць
нявмказанае	нявыказанае
Сардзчна	Сардэчна
абараняюііь	абараняюць
яказваць	аказваць
буйнананельных	буйнапанельных
наііцяжэйшага	найцяжэйшага
небвсхіле	небасхіле
рамаптычны	рамантычны
эдабычы	здабычы
грапітам	гранітам
памылілвся	памылілася
Кладзс	Кладзе
радысактыўных	радыеактыўных
цяпёрашніх	цяперашніх
зднаўленне	аднаўленне
суетрэч	сустрэч
тарэння	гарэння
улравы	управы
прапагандаіі	прапагандай
раскрыпалі	раскрывалі
бедпая	бедная
АкалэміІ	АкадэміІ
авчарах	анчарах
муаычнай	музычнай
пячалося	пачалося
заставашіа	заставацца
алпаведная	адпаведная
магчымлсці	магчымасці
пытаенца	пытаецца
яальсаў	вальсаў
навучальнлй	навучальнай
снайнера	снайпера
навальваюнца	навальваюцца
плвялічыцца	павялічыцца
уводзішіа	уводзіцца
Разважлнне	Разважанне
фіэіку	фізіку
рагкрыццю	раскрыццю
цепласілааога	цепласілавога
размовн	размовы
пазбяцаў	паабяцаў
Данцмга	Данцыга
электрычпых	электрычных
збласцей	абласцей
выязлжала	выязджала
бсднасці	беднасці
электрычнаіі	электрычнай
смугку	смутку
пераўтаарэнняў	пераўтварэнняў
колькагці	колькасці
чырпоных	чырвоных
рзтунку	ратунку
пышыню	вышыню
вднавіць	аднавіць
справг	справе
хочвцца	хочацца
етрымаць	стрымаць
Дабрай	Добрай
параўнаўчв	параўнаўча
сакратарыяне	сакратарыяце
Свтыра	Сатыра
Перавыканан	Перавыканай
клагікаў	класікаў
ілюстрапый	ілюстрацый
лддзелах	аддзелах
пранікле	пранікае
плацінь	плаціць
Тзхнікум	Тэхнікум
жнівеньската	жнівеньскага
нрацаВаў	працаВаў
плтрэбнага	патрэбнага
Рэвялюцыі	Рэвалюцыі
сакрлтаром	сакратаром
напаленм	напалены
дружвы	дружны
нясёлы	вясёлы
запэцкацы	запэцканы
крэмях	крэмах
цямнсла	цямнела
немагчымв	немагчыма
абурылігя	абурыліся
нялёсткаў	пялёсткаў
псршаадкрывальніка	першаадкрывальніка
аабойцамі	забойцамі
бойствам	байствам
Двсягнуў	Дасягнуў
Дырэктыввмі	Дырэктывамі
ііышна	пышна
незовершаную	незавершаную
паграбаваннямі	патрабаваннямі
сацыялігтычнае	сацыялістычнае
прачытаене	прачытаеце
тоіццл	тоіцца
царкау	царкву
крагавіка	красавіка
аесялосці	весялосці
суссдка	суседка
сустракаеццв	сустракаецца
адабрэннс	адабрэнне
высмейнаў	высмейваў
чыгункзй	чыгункай
лабрачынны	дабрачынны
еродак	сродак
пераможнл	пераможна
знойдаеце	знойдзеце
паслявяеннай	пасляваеннай
нытворчай	вытворчай
падыходзіаь	падыходзіць
пзстаноўкі	пастаноўкі
знаходжаііні	знаходжанні
Пероменіцца	Пераменіцца
раэумна	разумна
бзмбёжкай	бамбёжкай
халалы	халады
аб'аўлены	аб'яўлены
эапамінальны	запамінальны
увосепь	увосень
Снаборніцтвы	Спаборніцтвы
прмвучаем	прывучаем
цянерашняга	цяперашняга
клапаніўся	клапаціўся
здабываешіа	здабываецца
нрымаў	прымаў
знаіішлі	знайшлі
ваепнаму	ваеннаму
разгортнаецца	разгортваецца
Заканчнаецца	Заканчваецца
лраматочных	праматочных
перуючых	веруючых
харлктарызуючы	характарызуючы
адвсдзены	адведзены
Таорчае	Творчае
пьмяна	цьмяна
хааелася	хацелася
шырокаэкраннзя	шырокаэкранная
спявле	спявае
шукяць	шукаць
папрааілася	паправілася
фвшысцкія	фашысцкія
лшаніцы	пшаніцы
яскрлвы	яскравы
Яраславл	Яраслава
Звестні	Звесткі
прздукцыя	прадукцыя
пзкупнікоў	пакупнікоў
міжнаролны	міжнародны
прасторней	прастарней
пабуаавалі	пабузавалі
лёгкадумны	легкадумны
расфарміроўвзлі	расфарміроўвалі
заралжэнне	зараджэнне
тіарэтычных	тэарэтычных
ьрыліся	крыліся
стнорана	створана
населішча	паселішча
кзмсамольцамі	камсамольцамі
абянанне	абяцанне
Самадзеіінасць	Самадзейнасць
ходзяпь	ходзяць
процідзеннічаюць	процідзейнічаюць
пераіішла	перайшла
аакончыў	закончыў
валявання	палявання
лрэўца	дрэўца
перабольшынь	перабольшыць
хвалюючля	хвалюючая
Цмганскі	Цыганскі
сарвллі	сарвалі
кадгаснага	калгаснага
неспзкойных	неспакойных
Мякіпнікаў	Мякіннікаў
прасгорай	прасторай
Пасябранаў	Пасябраваў
чалавечагв	чалавечага
МантажнінІ	МантажнікІ
гучкым	гучным
выдагцца	выдаецца
арфлграфіі	арфаграфіі
гітлёраўскага	гітлераўскага
непрысмнае	непрыемнае
хпалявалі	хвалявалі
арганізаяана	арганізавана
імклівл	імкліва
ііатрабуе	патрабуе
дасягнс	дасягне
ЦІкапа	ЦІкава
незвычайнле	незвычайнае
загалоўквм	загалоўкам
ангалогіі	анталогіі
гтанцыі	станцыі
Выстулае	Выступае
ляніна	ляніва
суснетнай	сусветнай
чмтачом	чытачом
Плважаны	Паважаны
Мікалаеўнв	Мікалаеўна
ажыцпяўленні	ажыццяўленні
команды	каманды
лёгкадумнасцю	легкадумнасцю
раягадала	разгадала
здольняя	здольная
Млтулю	Матулю
дбаюнь	дбаюць
калушках	кадушках
прымянснне	прымяненне
наляпшэнні	паляпшэнні
заглрэўся	загарэўся
беэдакорнай	бездакорнай
галоўпых	галоўных
аырасце	вырасце
выдавсцкай	выдавецкай
карысііую	карысную
паўкальца	паўкольца
куланкі	кулацкі
устрыважаны	устрывожаны
Пагаварыцс	Пагаварыце
даўжыпі	даўжыні
зстрады	эстрады
аркестро	аркестра
шаравяры	шаравары
калармтам	каларытам
пачнецця	пачнецца
Рмгоравіч	Рыгоравіч
кожуха	кажуха
алсталы	адсталы
ільвокамбіната	ільнокамбіната
грампласнінак	грампласцінак
незанершанасць	незавершанасць
нануцы	навуцы
раэлічаную	разлічаную
палканодца	палкаводца
быгавымі	бытавымі
звяртацця	звяртацца
зазнзчае	зазначае
алрозніў	адрозніў
гврком	гарком
выпусклць	выпускаць
выдавсц	выдавец
інстытуае	інстытуце
эацвітуць	зацвітуць
паэбавіць	пазбавіць
іпстытута	інстытута
вуснас	вуснае
Мііогаму	Многаму
занялбанне	занядбанне
пераншла	перайшла
злучзнне	злучэнне
праяялі	правялі
рааумееш	разумееш
наіўнасні	наіўнасці
архітзктараў	архітэктараў
спытзцца	спытацца
найменшяга	найменшага
сякратара	сакратара
вынанаўцам	выканаўцам
іііскае	ціскае
адрозпенне	адрозненне
худзенькэя	худзенькія
хварзвіты	хваравіты
выланню	выданню
брацтна	брацтва
яаводаў	заводаў
Стэфян	Стэфан
пвдвядзе	падвядзе
плдзей	падзей
гарвыклнкома	гарвыканкома
запытаўгя	запытаўся
патрабапаннем	патрабаваннем
аніяцыйнымі	авіяцыйнымі
Коласл	Коласа
вар'ятзў	вар'ятаў
етруктуры	структуры
ріпертуар	рэпертуар
Локдане	Лондане
выступаюііь	выступаюць
манаграфічнас	манаграфічнае
пракурорл	пракурора
скоўвас	скоўвае
тэлебачанпе	тэлебачанне
голаслвядзення	голасавядзення
снегзм	снегам
наказвяюць	наказваюць
патрэбнзсцях	патрэбнасцях
Улічввючы	Улічваючы
Казінін	Калінін
спадзрожнікам	спадарожнікам
аб'скты	аб'екты
шкоднаснь	шкоднасць
прыклвсці	прыкласці
намбінаты	камбінаты
пераўтвврэнне	пераўтварэнне
Гвліны	Галіны
Заслонлў	Заслонаў
скроль	скрозь
апаняданняў	апавяданняў
малвдосць	маладосць
Паспрабавзлі	Паспрабавалі
чагтцы	частцы
Трамяайнае	Трамвайнае
шчасцл	шчасці
выступілэ	выступілі
арфаграфічпых	арфаграфічных
работііікі	работнікі
ненамерна	непамерна
мэтаіі	мэтай
прышчаіііць	прышчапіць
камПаз1тарам	камПазітарам
драмлтургічныя	драматургічныя
застанецііа	застанецца
ііеплынёй	цеплынёй
пішане	пішаце
атрымаём	атрымаем
сгыхія	стыхія
аышынь	вышынь
В'етням	В'етнам
праграмн	праграмы
вербалозэе	вербалоззе
Клбзара	Кабзара
змясціпь	змясціць
двільныя	даільныя
вбедзеннага	абедзеннага
сімфанічнмм	сімфанічным
зважаюнь	зважаюць
спзкойна	спакойна
бвльніцы	бальніцы
гастрольнаіі	гастрольнай
успамінаё	успамінае
цеплаходв	цеплахода
палепшанан	палепшанай
паэтычвы	паэтычны
псршапачатковая	першапачатковая
парахолы	параходы
Сулраць	Супраць
меласа	мелася
набышіі	набыцці
іютасці	лютасці
разнучванне	развучванне
тлуыачацца	тлумачацца
вмдатны	выдатны
заваяваннг	заваяванне
кааператыяУ	кааператывУ
ватоўны	ватоўцы
нлацілі	плацілі
давядзеццл	давядзецца
шынсльным	шынельным
Бодьшая	Большая
Наступэлі	Наступілі
пралагандысту	прапагандысту
пазтычныя	паэтычныя
налкоўніка	палкоўніка
эгадвалі	згадвалі
клалоцяцца	клапоцяцца
ныстраіўшы	выстраіўшы
праведзепы	праведзены
рэдактлр	рэдактар
пашыраюццл	пашыраюцца
шырокаэкраннм	шырокаэкранны
манскім	майскім
перанраўлялася	перапраўлялася
мяшынкамі	машынкамі
пяказваюць	паказваюць
назьмуся	вазьмуся
пвнелі	панелі
змепшчыкаў	зменшчыкаў
радыёзявода	радыёзавода
гэтыыі	гэтымі
капанізатараў	каланізатараў
псракладных	перакладных
пламам	плямам
паскзрдзіўся	паскардзіўся
памочкікамі	памочнікамі
эасыпалі	засыпалі
аастарэласцю	застарэласцю
алмысловы	адмысловы
галіііы	галіны
