аба-в€залас€	абав€залас€
га-зеты	газеты
газе-ты	газеты
газсты	газеты
газене	газеце
газецо	газеце
газецс	газеце
гаэу	газу
га-лава	галава
га-ласы	галасы
гал≥нс	гал≥не
гвл≥не	гал≥не
галоҐ-нага	галоҐнага
гвлоҐквгв	галоҐнага
га-лоҐнае	галоҐнае
галоҐ-нае	галоҐнае
галоҐ-на€	галоҐна€
гвлоҐны	галоҐны
га-лоҐным	галоҐным
галоҐ-ным	галоҐным
г€лоҐным	галоҐным
га-лоҐны€	галоҐны€
галь-штук	гальштук
га-л€	гал€
га-нарымс€	ганарымс€
гана-рыцца	ганарыцца
ганллю	гандлю
га-небную	ганебную
ган-чарэнка	ганчарэнка
гара-дах	гарадах
гара-лах	гарадах
гаралок	гарадок
га-радоҐ	гарадоҐ
гара-доҐ	гарадоҐ
гаралоҐ	гарадоҐ
г€радоҐ	гарадоҐ
гарад-ска€	гарадска€
га-радск≥м	гарадск≥м
га-радскога	гарадскога
гарадскогл	гарадскога
гаралскога	гарадскога
га-рады	гарады
гара-ды	гарады
гара-чую	гарачую
гарынь	гарыць
гаспалар	гаспадар
гаспа-дарка	гаспадарка
гаснадарк≥	гаспадарк≥
гас-падарк≥	гаспадарк≥
гаспа-дарк≥	гаспадарк≥
гаспадар-к≥	гаспадарк≥
гаспаларк≥	гаспадарк≥
гас-паларк≥	гаспадарк≥
гаспвдарк≥	гаспадарк≥
гас-пвдврк≥	гаспадарк≥
гаспа-дароҐ	гаспадароҐ
гаснадарцы	гаспадарцы
гаспа-дарцы	гаспадарцы
гаспа-дарчым	гаспадарчым
гаспа-дары	гаспадары
гаспада-ры	гаспадары
гаспа-дын€	гаспадын€
глстрол≥	гастрол≥
гастроль-на€	гастрольна€
гвстроль-нв€	гастрольна€
га-стрытах	гастрытах
гас-цей	гасцей
гвсцей	гасцей
га-сц€м≥	гасц€м≥
гато-вы	гатовы
гв≥нс≥	гв≥не≥
геа-граф≥чных	геаграф≥чных
гек-тараҐ	гектараҐ
гекта-раҐ	гектараҐ
√енадэь	√енадзь
генсральны	генеральны
гене-ральным	генеральным
генераль-ным	генеральным
ген≥-€льнай	ген≥€льнай
ген≥-€льны	ген≥€льны
√сорг≥й	√еорг≥й
гера≥-ню	гера≥ню
ге-ра≥чнага	гера≥чнага
ге-ра≥чных	гера≥чных
гера-≥чных	гера≥чных
гера≥ч-ных	гера≥чных
√срман≥≥	√ерман≥≥
гер-ман≥ю	герман≥ю
гер-манск≥м	германск≥м
ге-ро≥	геро≥
гсро≥	геро≥
ге-рой	герой
√срой	√ерой
ге-рою	герою
√ерол	геро€
ге-ро€	геро€
гсро€	геро€
геро€касманаҐта	геро€-касманаҐта
гсро€м≥	геро€м≥
геро-€Ґ	геро€Ґ
гсро€Ґ	геро€Ґ
гс-ро€Ґ	геро€Ґ
г≥-ганцк≥	г≥ганцк≥
г≥-старычнай	г≥старычнай
г≥ста-рычна€	г≥старычна€
г≥старыч-на€	г≥старычна€
г≥-старычных	г≥старычных
г≥с-тарычных	г≥старычных
г≥ста-рычны€	г≥старычны€
г≥старыч-ны€	г≥старычны€
г≥-сторы≥	г≥сторы≥
г≥с-торы≥	г≥сторы≥
г≥сто-ры≥	г≥сторы≥
г≥-сторыю	г≥сторыю
г≥-сторы€	г≥сторы€
г≥сто-ры€	г≥сторы€
г≥сторы-€й	г≥сторы€й
г≥тле-раҐск≥м	г≥тлераҐск≥м
г≥тле-раҐцам≥	г≥тлераҐцам≥
г≥т-лераҐцаҐ	г≥тлераҐцаҐ
г≥т-лераҐцы	г≥тлераҐцы
глеб-ка	глебка
гле-дача	гледача
гледа-ча	гледача
гледа-чам≥	гледачам≥
глелачам≥	гледачам≥
глелачоҐ	гледачоҐ
гледа-чу	гледачу
гле-дачы	гледачы
глелачы	гледачы
глсдачы	гледачы
гл≥-ны	гл≥ны
глы-бока	глыбока
глыбо-ка	глыбока
гл€-дзець	гл€дзець
гл€-дз≥це	гл€дз≥це
гл€дз€нь	гл€дз€ць
гл€-дэ€ць	гл€дз€ць
гн€зло	гн€здо
го-да	года
годв	года
го-дзе	годзе
годзс	годзе
годэе	годзе
годна-сц≥	годнасц≥
годнас-ц≥	годнасц≥
*√олас	√олас
го-лас	голас
≥олас	голас
го-ласам	голасам
го-лым≥	голым≥
√ольцћ≥лера	√ольц-ћ≥лера
√омел≤	√омел≥
го-мельскага	гомельскага
гомельска-га	гомельскага
√омсльскага	√омельскага
го-мельск≥м	гомельск≥м
го-мельск≥х	гомельск≥х
гомельшчы-ны	гомельшчыны
го-нар	гонар
гонвр	гонар
гона-рам	гонарам
гонвру	гонару
гон-цы	гонцы
го-рад	горад
горал	горад
горвд	горад
горлд	горад
го-рада	горада
гора-да	горада
горадв	горада
горад€	горада
горала	горада
го-рала	горада
гора-ла	горада
горвда	горада
горлда	горада
го-радам	горадам
го-радзе	горадзе
гора-дзе	горадзе
горадзс	горадзе
горадэе	горадзе
гордас-цю	гордасцю
гор-кага	горкага
горка-га	горкага
√оркагл	√оркага
≤'оркага	√оркага
гор-к≥	горк≥
госн≥	госц≥
госнь	госць
гос-ц€	госц€
грама-дз€н≥на	грамадз€н≥на
грамадз€-н≥на	грамадз€н≥на
грамадз€н-скага	грамадз€нскага
гра-мадз€нскай	грамадз€нскай
грамадз€н-скай	грамадз€нскай
гра-мадскага	грамадскага
грамад-скага	грамадскага
грамадска-га	грамадскага
грамалскага	грамадскага
грамад-скай	грамадскай
грамадскаснь	грамадскасць
гра-мадскасцю	грамадскасцю
гра-мадска€	грамадска€
гра-мадск≥	грамадск≥
гра-мадск≥м	грамадск≥м
грамад-ск≥м	грамадск≥м
грамалск≥х	грамадск≥х
грлмадск≥х	грамадск≥х
грамалск≥€	грамадск≥€
грамад-скую	грамадскую
грамадстаа	грамадства
гра-мадства	грамадства
грамад-ства	грамадства
грамадстна	грамадства
грлмад-ства	грамадства
грамадствс	грамадстве
грана-тай	гранатай
гранды-Єзны€	грандыЄзны€
гран≥-цы	гран≥цы
гра-ф≥кам	граф≥кам
гра-ф≥к≥	граф≥к≥
гра-шовым≥	грашовым≥
гро-дзенскага	гродзенскага
√родзснскага	√родзенскага
√родзенск≤	√родзенск≥
гро-дзеншчыны	гродзеншчыны
грод-на	гродна
√роднл	√родна
√ролна	√родна
гро-шай	грошай
гро-шы	грошы
√руэ≥≥	√руз≥≥
грунтоҐ-на	грунтоҐна
гру-пы	групы
гу-барэв≥ч	губарэв≥ч
гурт-коҐ	гурткоҐ
гур-ток	гурток
гутар-к≥	гутарк≥
гу-тарку	гутарку
гутар-ку	гутарку
гу-чанн€	гучанн€
гучвць	гучаць
гучынь	гучыць
гїта	гэта
гзта	гэта
гэга	гэта
гэ-та	гэта
гэтв	гэта
гэ-тв	гэта
гэтз	гэта
гэтл	гэта
гэт€	гэта
гэ-т€	гэта
≥эта	гэта
≤'эта	√эта
гзтага	гэтага
гэгага	гэтага
гэ-тага	гэтага
гэта-га	гэтага
гэтагв	гэтага
гэтагл	гэтага
гэтаг€	гэтага
гэтзга	гэтага
гэтлга	гэтага
гэтае	гэтае
гэ-тае	гэтае
гэтле	гэтае
гзтай	гэтай
гэта≥≥	гэтай
гэ-тай	гэтай
гэтан	гэтак
гэта-му	гэтаму
гэ-та€	гэта€
гэтл€	гэта€
гэтм€	гэта€
гэт€€	гэта€
гэ-ту	гэту
гэ-тую	гэтую
гзты	гэты
гэ-ты	гэты
гэть≥	гэты
гзтым	гэтым
гэтмм	гэтым
гэ-тым	гэтым
гзтым≥	гэтым≥
гэ-тым≥	гэтым≥
гзтых	гэтых
гэтмх	гэтых
гэ-тых	гэтых
гзты€	гэты€
гэ-ты€	гэты€
даб≥вайнес€	даб≥вайцес€
да-б≥л≥с€	даб≥л≥с€
дабра-быту	дабрабыту
дабрабы-ту	дабрабыту
давань	даваць
да-ваць	даваць
лаваць	даваць
даведал≥-с€	даведал≥с€
да-ведаҐшыс€	даведаҐшыс€
даведаҐшы-с€	даведаҐшыс€
даве-дацца	даведацца
да-водз≥цца	даводз≥цца
лаводз≥цца	даводз≥цца
да-вол≥	давол≥
дапол≥	давол≥
да€ол≥	давол≥
д€вол≥	давол≥
лавол≥	давол≥
дав€ло-с€	дав€лос€
д€в€лос€	дав€лос€
ла-в€лос€	дав€лос€
да-гавору	дагавору
дагэ-туль	дагэтуль
да-дзены€	дадзены€
да-дому	дадому
ладому	дадому
даз≥роҐ-к≥	даз≥роҐк≥
лаказаҐ	даказаҐ
да-клад	даклад
даклал	даклад
дакла-дам	дакладам
даклалам	дакладам
да-кладна	дакладна
дак-ладна	дакладна
даклална	дакладна
закончыл≥с€	дакончыл≥с€
дак-трыну	дактрыну
даку-менталы≥ы	дакументальны
даку-ментальны	дакументальны
дакумен-тальным	дакументальным
дакумен-тальных	дакументальных
да-кументы	дакументы
дакумен-ты	дакументы
лакументы	дакументы
да-ла	дала
далей-шага	далейшага
лалейшым	далейшым
далей-шых	далейшых
лалЄка	далЄка
далбкае	далЄкае
да-лЄк≥€	далЄк≥€
далЄ-к≥€	далЄк≥€
да-лес	далес
да-леса	далеса
да-л≥	дал≥
дал-лю	даллю
дамагчы-с€	дамагчыс€
дамннструюцца	даманструюцца
да-мах	дамах
да-моҐ	дамоҐ
ламоҐ	дамоҐ
л€моҐ	дамоҐ
да-мы	дамы
да-памагае	дапамагае
дапамагас	дапамагае
дапа-магал≥	дапамагал≥
лапамагал≥	дапамагал≥
двпвмвгвць	дапамагаць
дапамага-юць	дапамагаюць
данамагчы	дапамагчы
да-памагчы	дапамагчы
дапамаг-чы	дапамагчы
да-памога	дапамога
да-памогай	дапамогай
дапа-могай	дапамогай
данамогу	дапамогу
да-памогу	дапамогу
дапа-могу	дапамогу
дапамо-гу	дапамогу
двпвмогу	дапамогу
дапа-можа	дапаможа
да-памозе	дапамозе
да-раг≥€	дараг≥€
дара-г≥€	дараг≥€
дара-гое	дарагое
дарадчы-кам	дарадчыкам
да-рог	дарог
даро-га	дарога
ларога	дарога
даро-гах	дарогах
да-рогу	дарогу
да-розе	дарозе
дарэ-чы	дарэчы
ƒ€рэчы	ƒарэчы
даследа-ванн≥	даследаванн≥
даследаван-н≥	даследаванн≥
дасле-даванн€Ґ	даследаванн€Ґ
да-статкова	дастаткова
да-стаҐлены	дастаҐлены
дастой-най	дастойнай
длстойнай	дастойнай
да-стойную	дастойную
дастой-ную	дастойную
дас€г-ненне	дас€гненне
дас€г-неннем	дас€гненнем
да-с€гненн≥	дас€гненн≥
дас€г-ненн≥	дас€гненн≥
дас€г-ненн€Ґ	дас€гненн€Ґ
двс€гненн€Ґ	дас€гненн€Ґ
лас€гненн€Ґ	дас€гненн€Ґ
дас€г-нул≥	дас€гнул≥
датычьшь	датычыць
даҐ-но	даҐно
лаҐно	даҐно
да-ходаҐ	даходаҐ
да-ходз≥ць	даходз≥ць
даюнь	даюць
ла€рка	да€рка
да€р-кай	да€ркай
даа	два
дватры	два-тры
двацца-ц≥	дваццац≥
двац-цаць	дваццаць
лвор	двор
лвух	двух
дзвсры	дзверы
дэвюх	дзвюх
дзс	дзе
дэе	дзе
лзе	дзе
дзейнасн≥	дзейнасц≥
дзей-насн≥	дзейнасц≥
дзейна-сц≥	дзейнасц≥
дзейнвсц≥	дзейнасц≥
дзейпасц≥	дзейнасц≥
дэейнасц≥	дзейнасц≥
дзе≥≥насць	дзейнасць
дзейнаснь	дзейнасць
дзейнвсць	дзейнасць
дэейнасць	дзейнасць
дзе-л€	дзел€
дзсл€	дзел€
дэЄн	дзЄн
дзснь	дзень
дэень	дзень
лзень	дзень
дзе-с€ткаҐ	дзес€ткаҐ
дзе-с€тк≥	дзес€тк≥
дэес€тк≥	дзес€тк≥
дзес€н≥	дзес€ц≥
дзес€нь	дзес€ць
дзе-ц≥	дзец≥
дэец≥	дзец≥
дзе-ц€м	дзец€м
дзс€ча	дзе€ча
дзе€-чоҐ	дзе€чоҐ
дзс€чоҐ	дзе€чоҐ
дзе€-чы	дзе€чы
дз≥н€	дз≥ц€
дз≥ц€-чага	дз≥ц€чага
дз≥ц€ча-га	дз≥ц€чага
дз≥ц€чан	дз≥ц€чай
дз≥н€чым	дз≥ц€чым
дз≥-ц€чых	дз≥ц€чых
дз≥-ц€чы€	дз≥ц€чы€
дзм≥т-рый	дзм≥трый
дз€-куй	дз€куй
дз€-кую	дз€кую
дэ€кую	дз€кую
дз€-куючы	дз€куючы
ƒэ€н≥саҐ	ƒз€н≥саҐ
дз€р-жава	дз€ржава
дз€ржа-ву	дз€ржаву
дз€р-жавы	дз€ржавы
дз€ржа-вы	дз€ржавы
да€рзкаҐнага	дз€ржаҐнага
ƒэ€ржаҐнага	ƒз€ржаҐнага
дз€р-жаҐнае	дз€ржаҐнае
дз€ржаҐ-нае	дз€ржаҐнае
дз€р-жаҐнай	дз€ржаҐнай
дз€ржаҐ-най	дз€ржаҐнай
дз€р-жаҐна€	дз€ржаҐна€
дз€р-жаҐны	дз€ржаҐны
дз€р-жаҐным	дз€ржаҐным
дз€ржаҐ-ным	дз€ржаҐным
ƒэ€ржаҐным	ƒз€ржаҐным
дз€ржаҐ-ных	дз€ржаҐных
лз€р-жаҐны€	дз€ржаҐны€
ƒэ€ржынскага	ƒз€ржынскага
ƒз€тллҐ	ƒз€тлаҐ
дз€Ґ-чат	дз€Ґчат
дз€Ґчвт	дз€Ґчат
дз€Ґча-ты	дз€Ґчаты
ƒз€учыь	дз€Ґчын
дз€Ґ-чына	дз€Ґчына
ƒэ€Ґчына	ƒз€Ґчына
дз€Ґ-чынка	дз€Ґчынка
ƒэ€Ґчынка	ƒз€Ґчынка
дз€Ґ-чынк≥	дз€Ґчынк≥
дз€Ґчы-ну	дз€Ґчыну
дз€Ґ-чыны	дз€Ґчыны
дз€Ґчы-ны	дз€Ґчыны
дз€ней	дз€цей
дз€-ней	дз€цей
дз€-цей	дз€цей
дз€цсй	дз€цей
дз€-цсй	дз€цей
дэ€цей	дз€цей
лз€цей	дз€цей
дз€н≥нства	дз€ц≥нства
д≥≥€	дл€
длн	дл€
лл€	дл€
лнЄм	днЄм
лн≥	дн≥
лн€	дн€
доб-ра	добра
ƒобрл	ƒобра
добрл	добра
добр€	добра
лобра	добра
добрас	добрае
лобрай	добрай
добраҐпарадка-ванню	добраҐпарадкаванню
доб-ра€	добра€
доб-рую	добрую
доб-ры	добры
лобры	добры
доб-рым	добрым
доб-рым≥	добрым≥
доб-рых	добрых
лобрых	добрых
до-гл€ду	догл€ду
дожлж	дождж
док-тар	доктар
локтар	доктар
дола-раҐ	долараҐ
до-ма	дома
домв	дома
домл	дома
дом€	дома
до-ме	доме
ƒомс	ƒоме
доҐгв	доҐга
доҐта	доҐга
лоҐг≥	доҐг≥
дра-матург	драматург
лраматург	драматург
драма-тургаҐ	драматургаҐ
дра-матург≥	драматург≥
драма-тург≥	драматург≥
дра-матург≥≥	драматург≥≥
лр€-м€тург≥≥	драматург≥≥
драма-тычны	драматычны
дрв-мвтычны	драматычны
драҐл€-ных	драҐл€ных
драҐн≥-ны	драҐн≥ны
друт≥	друг≥
лруг≥	друг≥
дру-г≥м	друг≥м
лруг≥м	друг≥м
дру-г≥€	друг≥€
лруг≥€	друг≥€
другогв	другога
дру-гой	другой
друж-ба	дружба
лружба	дружба
друкар-н≥	друкарн≥
лруку	друку
друкуюццв	друкуюцца
лрэва	дрэва
дрэ-вы	дрэвы
лрэвы	дрэвы
дрэн-на	дрэнна
дрзҐ	дрэҐ
лрэҐ	дрэҐ
ду-б≥нка	дуб≥нка
ƒубоаы	ƒубовы
дуб-рава	дубрава
дуброҐ-скага	дуброҐскага
ду-мак	думак
лумак	думак
лу-мала	думала
дума-л≥	думал≥
думань	думаць
думк€	думка
лумка	думка
дум-кай	думкай
дум-кам≥	думкам≥
дум-к≥	думк≥
лумк≥	думк≥
лумку	думку
дур-ману	дурману
дур-н≥ца	дурн≥ца
ду-хоҐных	духоҐных
ду-хоҐны€	духоҐны€
ду-шой	душой
ду-шу	душу
душм	душы
лушы	душы
ды-в≥з≥≥	дыв≥з≥≥
ды-в≥з≥€	дыв≥з≥€
лык	дык
дырзктар	дырэктар
ды-рэктар	дырэктар
дырэк-тар	дырэктар
лырэктар	дырэктар
лырэктара	дырэктара
лырэкцы€	дырэкцы€
дысцыпл≥-ны	дысцыпл≥ны
дыхан-не	дыханне
дэей-насць	дэейнасць
дэка-мерон	дэкамерон
дэкара-тыҐных	дэкаратыҐных
дэлега-цы≥	дэлегацы≥
дэлега-цы€	дэлегацы€
дэ-макраты≥	дэмакраты≥
дэма-кратычнай	дэмакратычнай
дэман-стравацца	дэманстравацца
дэ-манстрацый	дэманстрацый
дэман-страцы€	дэманстрацы€
дэ-путатам	дэпутатам
дэ-путатаҐ	дэпутатаҐ
дэ-тал≥	дэтал≥
дэта-л€м≥	дэтал€м≥
Є≥≥	Єн
ермачэн-к≥	ермачэнк≥
еснь	есць
≈спь	≈сць
бсць	Єсць
Єс≥≥ь	Єсць
Єснь	Єсць
Єспь	Єсць
ссць	Єсць
еуропы	еҐропы
еҐро-пы	еҐропы
ехань	ехаць
схаць	ехаць
ж€	жа
жа-б≥цк≥	жаб≥цк≥
жадас	жадае
жаданнс	жаданне
жаланне	жаданне
жада-юць	жадаюць
жа-лезнай	жалезнай
∆алеэны	∆алезны
жзль	жаль
жлль	жаль
жано-чага	жаночага
жано-чы	жаночы
жан-чын	жанчын
жан-чына	жанчына
жанчы-на	жанчына
ж€нчына	жанчына
жанчы-ны	жанчыны
жда-нава	жданава
жомка	жонка
жон-ка	жонка
жонкл	жонка
жон-ку	жонку
жонны	жонцы
∆оуты	∆оҐты
жмве	жыве
жывс	жыве
жывЄлага-доҐл≥	жывЄлагадоҐл≥
жывЄла-гадоҐчых	жывЄлагадоҐчых
жывЄлага-доҐчых	жывЄлагадоҐчых
жывЄ-лы	жывЄлы
жы-веш	жывеш
жы-вога	жывога
жывос	жывое
жы-вуць	жывуць
жы€уць	жывуць
жы-вы	жывы
жы-лых	жылых
жыха-ры	жыхары
жыхвры	жыхары
жмццЄ	жыццЄ
жы≥шЄ	жыццЄ
жыннЄ	жыццЄ
жынцЄ	жыццЄ
жыц≥≥Є	жыццЄ
жыцнЄ	жыццЄ
жыццб	жыццЄ
жыцце	жыццЄ
жыц-цЄ	жыццЄ
жыццс	жыццЄ
жыш≥Є	жыццЄ
жь≥ццЄ	жыццЄ
жьшцЄ	жыццЄ
жыццЄ-вага	жыццЄвага
жыц-цЄвым	жыццЄвым
жыццЄ-вых	жыццЄвых
жыш≥Євых	жыццЄвых
жы≥шЄм	жыццЄм
жыннЄм	жыццЄм
жынцЄм	жыццЄм
жыц-цЄм	жыццЄм
жы≥≥ц≥	жыцц≥
жы≥ш≥	жыцц≥
жыцн≥	жыцц≥
жыц-ц≥	жыцц≥
жыш≥≥	жыцц≥
жмцц€	жыцц€
жы≥≥ц€	жыцц€
жы≥ш€	жыцц€
жынн€	жыцц€
жынц€	жыцц€
жыц≥≥€	жыцц€
жыцн€	жыцц€
жыцп€	жыцц€
жыццв	жыцц€
жыц-ц€	жыцц€
жыш≥€	жыцц€
жыц-ц€м≥	жыцц€м≥
жыцц€-радасную	жыцц€радасную
жынь	жыць
жыпь	жыць
3	з
эа	за
заа-парку	заапарку
за-атэхн≥к	заатэхн≥к
за-барону	забарону
за-будову	забудову
забудо-ву	забудову
забу-довы	забудовы
з€-будовы	забудовы
забывань	забываць
заб€спечынь	заб€спечыць
за-б€спечыць	заб€спечыць
заб€спе-чыць	заб€спечыць
эаб€спечыць	заб€спечыць
за-вод	завод
завол	завод
эавод	завод
эа-вод	завод
за-вода	завода
заво-да	завода
завола	завода
запода	завода
злвода	завода
эавода	завода
эа-вода	завода
заво-даҐ	заводаҐ
эаводаҐ	заводаҐ
эаводах	заводах
заводзс	заводзе
эаводзе	заводзе
за-водск≥х	заводск≥х
эаводск≥х	заводск≥х
за-воды	заводы
#»ћя?	загаварыл≥
зага-варыҐ	загаварыҐ
эагаду	загаду
за-гадчык	загадчык
эагадчык	загадчык
за-гадчыка	загадчыка
эагалчыка	загадчыка
загадчына	загадчыца
загад-чыца	загадчыца
эагадчыца	загадчыца
загалоҐ-кам	загалоҐкам
за-г≥нул≥	заг≥нул≥
задавалы≥еннем	задавальненнем
за-даволены	задаволены
зада-волены	задаволены
задаво-лены	задаволены
за-дадзеным	зададзеным
зададзе-ным	зададзеным
эаданне	заданне
за-данн€	заданн€
за-дач	задач
залач	задач
залача	задача
эадача	задача
за-дачай	задачай
за-дачу	задачу
эадачу	задачу
за-дачы	задачы
зада-чы	задачы
эадачы	задачы
задумс	задуме
эадумы	задумы
эайку	зайку
займас	займае
эаймаецца	займаецца
займаюнь	займаюць
займа-юць	займаюць
заканчвас	заканчвае
«аканчэннс	«аканчэнне
заканчэн-н€	заканчэнн€
эакл≥-ку	закл≥ку
за-ключэнне	заключэнне
заключэн-не	заключэнне
эаключэнне	заключэнне
эакона	закона
эаконаҐ	законаҐ
закон-чан	закончан
эакончыла	закончыла
за-ла	зала
залсжыць	залажыць залежыць
эалатым	залатым
зв-ле	зале
залежынь	залежыць
зале-жынь	залежыць
за-л≥чыць	зал≥чыць
эалу	залу
эамежных	замежных
заме-ны	замены
замсст	замест
за-мсст	замест
эамест	замест
за-муж	замуж
заналта	занадта
эан€ткаҐ	зан€ткаҐ
эан€тк≥	зан€тк≥
зан€-ты	зан€ты
за-паветна€	запаветна€
#»ћя?	запаветы
запа-лам	запалам
запатрабаван-н≥	запатрабаванн≥
за-патрабаванн€Ґ	запатрабаванн€Ґ
запэҐн€е	запаҐн€е
за-планавана	запланавана
за-поҐнены	запоҐнены
за-пуск	запуск
за-пусц≥л≥	запусц≥л≥
за-пытала	запытала
за-ра	зара
за-раз	зараз
зараэ	зараз
за-раэ	зараз
эараз	зараз
эараэ	зараз
эарплаты	зарплаты
эарубежных	зарубежных
зару-бежны€	зарубежны€
эаслуг≥	заслуг≥
за-слугоҐвае	заслугоҐвае
за-служанага	заслужанага
эаслужаны	заслужаны
засна-валы≥≥к	заснавальн≥к
засна-вальн≥ка	заснавальн≥ка
заснавальн≥-ка	заснавальн≥ка
за-снавальн≥ку	заснавальн≥ку
застасцца	застаецца
заста-лас€	засталас€
за-стал≥с€	застал≥с€
за-сталос€	засталос€
эасталос€	засталос€
эастаҐс€	застаҐс€
эастаюцца	застаюцца
зата-≥Ґшы	зата≥Ґшы
за-тое	затое
эатое	затое
эатым	затым
эа-тым	затым
эаҐваг≥	заҐваг≥
заҐважынь	заҐважыць
заҐседы	заҐсЄды
заҐ-сЄды	заҐсЄды
заҐсЄ-ды	заҐсЄды
заҐсЄлы	заҐсЄды
заҐссды	заҐсЄды
з€ҐсЄды	заҐсЄды
эаҐсЄды	заҐсЄды
эа-ҐсЄды	заҐсЄды
эаҐ-сЄды	заҐсЄды
заҐтрв	заҐтра
эаҐтра	заҐтра
заҐтраш-н≥	заҐтрашн≥
заха-вал≥с€	захавал≥с€
за-хаванне	захаванне
за-хаванн€	захаванн€
заха-дзе	захадзе
заха-п≥ць	захап≥ць
эахапленне	захапленне
за-хапленнем	захапленнем
захаплен-нем	захапленнем
захап-л€л≥с€	захапл€л≥с€
«ахарааа	«ахарава
заханеҐ	захацеҐ
за-ходн≥х	заходн≥х
заход-н€й	заходн€й
«аходн€н	«аходн€й
за-ходн€€	заходн€€
заход-н€€	заходн€€
эахоҐвае	захоҐвае
захоҐва-л≥с€	захоҐвал≥с€
за-хоҐваҐ	захоҐваҐ
за-€в≥Ґ	за€в≥Ґ
эа€в≥Ґ	за€в≥Ґ
эб≥л≥	зб≥л≥
збл≥-жае	збл≥жае
эбожжа	збожжа
збо-ку	збоку
эбор	збор
эборн≥к	зборн≥к
збор-н≥ка	зборн≥ка
эборн≥ка	зборн≥ка
збор-н≥каҐ	зборн≥каҐ
зборн≥-к≥	зборн≥к≥
эборн≥ку	зборн≥ку
збор-цы	зборцы
эборы	зборы
зважаю-чы	зважаючы
звана-га	званага
зван-не	званне
эванне	званне
эван-не	званне
зва-ны€	званы€
звер-ху	зверху
эвонк≥€	звонк≥€
звы-чайна	звычайна
звычанна	звычайна
эвычайна	звычайна
звы-чайнага	звычайнага
звычай-на€	звычайна€
з€ыш	звыш
эвыш	звыш
зв€-зана	зв€зана
зв€эаны	зв€заны
зв€эа-ны	зв€заны
зв€-заны€	зв€заны€
зв€р-нул≥с€	зв€рнул≥с€
зв€рну-л≥с€	зв€рнул≥с€
зв€р-нуҐс€	зв€рнуҐс€
зв€р-нуць	зв€рнуць
зв€р-таемс€	зв€ртаемс€
зв€ртаеш≥а	зв€ртаецца
зга-дз≥цца	згадз≥цца
злабыткам	здабыткам
зда-валас€	здавалас€
здава-лас€	здавалас€
эдавалас€	здавалас€
здаенца	здаецца
здаец≥≥а	здаецца
зда-ецца	здаецца
здаец-ца	здаецца
«даеш≥а	«даецца
здаеш≥а	здаецца
зда-еш≥а	здаецца
эдал≥	здал≥
зда-роҐ€	здароҐ€
злароҐ€	здароҐ€
эдароҐ€	здароҐ€
зда-рылас€	здарылас€
здары-лас€	здарылас€
эдарылас€	здарылас€
эдз≥Ґлены	здз≥Ґлены
здз€й-сненне	здз€йсненне
здз€йс-ненн€Ґ	здз€йсненн€Ґ
здз€йснен-н€Ґ	здз€йсненн€Ґ
здоле-л≥	здолел≥
здо-леҐ	здолеҐ
злолеҐ	здолеҐ
эдолеҐ	здолеҐ
эдольнасц≥	здольнасц≥
здолы≥ы	здольны
здоль-ны	здольны
эдольны	здольны
эдольны€	здольны€
зды-мак	здымак
эдымак	здымак
здымну	здымку
эдымку	здымку
эдымну	здымку
з'езл	з'езд
з'еэд	з'езд
з'сзд	з'езд
з'ездл	з'езда
з'езла	з'езда
з'еэда	з'езда
з'сзда	з'езда
э'езда	з'езда
э'еэда	з'езда
з'езлу	з'езду
з'еэду	з'езду
э'езду	з'езду
э'еэду	з'езду
зем-л≥	земл≥
эемл€к≥	земл€к≥
эемл€коҐ	земл€коҐ
земл€роб-ства	земл€робства
эерне	зерне
зза	з-за
з≥-хац€ць	з≥хац€ць
злеаа	злева
зл≥-л≥с€	зл≥л≥с€
злу-чаным≥	злучаным≥
злуча-ным≥	злучаным≥
злу-чаных	злучаных
злуча-ны€	злучаны€
змагасцца	змагаецца
эмагаецца	змагаецца
зма-гайцес€	змагайцес€
змагай-цес€	змагайцес€
эмагаҐс€	змагаҐс€
зма-гацца	змагацца
эмагацца	змагацца
зма-гаюцца	змагаюцца
эмагаюцца	змагаюцца
эмагл≥	змагл≥
эмен	змен
эмена	змена
зме-ны	змены
эмены	змены
эмест	змест
эместам	зместам
змес-ту-	зместу
эместу	зместу
зме-шчана	змешчана
змешча-нае	змешчанае
эмешчаны	змешчаны
зм≥тра-ка	зм≥трака
эм€н≥л≥с€	зм€н≥л≥с€
энаЄмства	знаЄмства
знасмы	знаЄмы
энаЄмых	знаЄмых
знайсн≥	знайсц≥
энайсн≥	знайсц≥
энайсц≥	знайсц≥
знай-шла	знайшла
энайшла	знайшла
энайшоҐ	знайшоҐ
знам€наль-ных	знам€нальных
энаходжанн€	знаходжанн€
зна-ходз≥л≥с€	знаходз≥л≥с€
эна-ходз≥Ґс€	знаходз≥Ґс€
знаходз≥ц-ца	знаходз≥цца
знаходз≥ш≥а	знаходз≥цца
энаходз≥цца	знаходз≥цца
эна-ходэ≥цца	знаходз≥цца
знаходз≥нь	знаходз≥ць
знахо-дз≥ць	знаходз≥ць
энаходз€цца	знаходз€цца
знаходз€нь	знаходз€ць
энаходз€ць	знаходз€ць
знач-на	значна
эначна	значна
эначнае	значнае
знач-най	значнай
эначную	значную
«начынь	«начыць
значынь	значыць
зна-чыць	значыць
зна-чьшь	значыць
